,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,RETURN_COM_EQY,2 EARN_FOR_COMMON,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),Strategy Filter EBITDA CAGR,Financial Filter ( Last 3 Year Data ) ROE Avg,EU EUCCEMU Index Last Price,US EXP1CYOY Index Last Price,Japan JNCPIYOY Index Last Price,Swiss Franc USDCHF Curncy Last Price,Taiwanese Dollar USDTWD Curncy Last Price,Korean Won USDKRW Curncy Last Price,Indian Rupee USDINR Curncy Last Price,Indonesian Rupiah USDIDR Curncy Last Price,Gold XAU Curncy Last Price,LME Copper LMCADY Comdty Last Price,UBS US real estate bubble index CHBBNYC Index Last Price,Nasdaq Composite CCMP Index Last Price,Topix Japan TPX Index Last Price,Libor US0003M Index Last Price,ECB ECMSM2 Index Last Price,S&P500 SPX Index Price Earnings Ratio (P/E),Indonesia Motor vehicle sales IDVHCLOC Index Last Price, VIX Index PX_LAST, FDTGOFSF Index PX_LAST, FDTGOFSF Index PX_LAST.1, SPX Index PX_LAST, Japan Govt Bond Year to maturi GJGC10 Index, Italy Generic Govt 10Y Yield GBTP10YR Index, Global High Yield LG30TRUU Index,1D US CPI EHPIUS Index Last Price,1D US CONSSENT Index Last Price,1D Japan JCOMSHCF Index Last Price,1D EU EUCCEMU Index Last Price,1D US CPI YOY Index Last Price,1D Japan JNCPIYOY Index Last Price,1D EURO USDEUR Curncy Last Price,1D Taiwanese Dollar USDTWD Curncy Last Price,1D Indonesian Rupiah USDIDR Curncy Last Price,1D Crude Palm oil KO3 Comdty Last Price,1D LME Copper LMCADY Comdty Last Price,1D Euro Stoxx SX5E Index Last Price,1D US EHUPUS Index Last Price,1D Germany EHUPDE Index Last Price,1D EU EUUCEMU Index Last Price,1D US 10yr Govt Bond Yield USGG10YR Index Last Price,1D Germany Govt 10yr bond yield GDBR10 Index Last Price,1D Libor US0003M Index Last Price,1D S&P 500 SPX Index BEst EPS,1D India Commercial Credit INCMCREY Index Last Price,1D  MXAPJ Index PX_TO_BOOK_RATIO,1D  SHASHR Index PE_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PE_RATIO,1D  SPX Index PX_TO_BOOK_RATIO,1D  NKY Index PX_LAST,1D  TR/CC CRB ER Index CRY Index,1D  Generic 1st 'HG' Future HG1 Comdty,2D US CPI YOY Index Last Price,2D EURO USDEUR Curncy Last Price,2D Taiwanese Dollar USDTWD Curncy Last Price,2D Indonesian Rupiah USDIDR Curncy Last Price,2D Crude Palm oil KO3 Comdty Last Price,2D LME Copper LMCADY Comdty Last Price,2D UBS US real estate bubble index CHBBNYC Index Last Price,2D Dow Jones US real estate index DJUSRE Index Last Price,2D US EHUPUS Index Last Price,2D Japan OEJPDGBO Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D Japan Govt 10yr bond yield GJGB10 Index Last Price,2D US M2 Index Last Price,2D China CNMSM2 Index Last Price,2D MSCI China MXCN Index Price Earnings Ratio (P/E),2D MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),2D China Monthly New Loan CNLNNEW Index Last Price,2D Indonesia Motor vehicle sales IDVHCLOC Index Last Price,2D US Output Gap CBOPGAPN Index PX_LAST,2D  FDTGOFSF Index PX_LAST,2D  CBOPGAPN Index PX_LAST,2D  FDTGOFSF Index PX_LAST.1,2D  MXAPJ Index PE_RATIO,2D  MXAPJ Index IS_EPS,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SHASHR Index PX_TO_SALES_RATIO,2D  SPX Index PX_LAST,2D  SPX Index PE_RATIO,2D  SPX Index PX_TO_BOOK_RATIO,2D IRON ORE Generic 1st 'CL' Future CL1 Comdty,2D  Gold Spot   $/Oz XAU Curncy
0,AAPL UW Equity,7,0.43751101811606885,0.6614461566265759,0.16447224422609472,79.01234567901234,0.23519668436459562,0.531869126171303,0.1376520379678977,83.33333333333334,0.0,0.0,0.0,0.0,-0.04228392789993482,-0.2685126981743299,0.0,0.0,-0.1418341440895463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25818515148669574,0.0,0.0,0.0,0.0,0.0,0.1241187079200805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06910460612578423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07128516281475483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ABT UN Equity,7,0.3788693768734749,0.6155236606934578,0.06541172995649641,59.375,0.15597496182488624,0.41813722466607556,0.0837168422028528,64.28571428571429,0.0,0.0,0.0,-1.7659103610834248,0.0,0.4366668031466039,0.03322346891070182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08412080127468155,0.0,-0.08903675253282317,0.0,-0.1875439331131753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ACN UN Equity,10,0.591540897281523,0.7691169594291384,0.06394513457434516,85.91549295774648,0.1762423379193483,0.6083128573711796,0.07492059546659424,70.96774193548387,0.0,0.0,0.0,0.0,0.0,0.22881523443008675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4309084717422339,0.0,0.0,-0.30643445345870957,-0.08623410692022808,0.0,0.0,0.05086611751886474,0.050866117518864794,0.0,0.0,0.0,0.48108097032179875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040015129226699045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03778848141059772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ADBE UW Equity,8,0.37187086709152684,0.6098121572185379,0.17234976883927589,69.0721649484536,0.18826114651122705,0.493228952135823,0.20466884390898152,54.761904761904766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1760701409696138,0.0,0.0,0.0,0.0,-0.15595172047499908,0.0,0.15638578512704823,-0.2104928896080973,0.12859894908144198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24558431017843788,0.0,-0.2786301677214752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMGN UW Equity,9,0.45805969096509036,0.6768010719296251,0.10089261181434246,70.0,0.1449022523830612,0.4829204193489504,0.13403932148825146,61.36363636363637,1.074142423274829,0.0,0.0,0.0,0.0,0.3850180150921053,0.0,0.0,-0.07275856326105118,-0.25294028203614893,-0.05500470419296951,0.06284453451188346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36822588268316514,0.0,0.0,0.0,0.0,0.0,0.0,-0.047810832436481404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,BA UN Equity,4,0.23914189814130427,0.48902136777578975,0.11549832483421124,72.28915662650603,0.2426094466817179,0.4953074184504966,0.09981974977841833,66.66666666666666,-0.29021984975660337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07726893099217585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04027294906467065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BDX UN Equity,13,0.5117930945569698,0.7153971586167849,0.06912701012491461,74.0,0.4433963656213198,0.7168382485553935,0.05725935594142306,77.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,-0.04291333898962249,0.0,0.0,0.0,0.11260273431986496,0.0,0.0,0.0,0.0,0.0,0.0,0.09172552674303609,-0.09820773267162516,0.0952657248632098,-0.05593374156188967,-0.12503035574018512,0.0,0.0,0.0,0.0,0.0,0.037506735650153146,0.06144737776906413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06362358411260288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02067893797699204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295300423836058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028326258254083095,0.0
7,BMY UN Equity,3,0.28660619543066257,0.535356138874546,0.07579953235878853,71.42857142857143,0.2620355298422581,0.5157114983657811,0.09693772242807912,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06494923969357859,0.0,0.0,0.0,0.0,-0.06747028047872003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07576411257118494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CAT UN Equity,14,0.6295120493944956,0.7934179537888564,0.07168129341693535,76.53061224489795,0.22202958039620324,0.5494583837927091,0.1157143775154043,73.80952380952381,0.0,0.0,0.0,0.7483110489757469,0.0,0.0,0.0,0.0,-0.05097170646074849,0.13692130293333013,0.0,0.0,0.0,-0.056202128473589914,0.0,0.0,-0.057284312555682726,0.06352532568792987,-0.08192229765696112,0.0,0.0,-0.2530288512319022,0.0,0.0,0.0,0.0,0.0,0.050526013158008004,-0.13416948556102398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02243284295384298,-0.029852818851185247,0.0,0.0,0.051913385402476774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01568569915893962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CI UN Equity,12,0.4416822673801907,0.6645918050805254,0.12135583713879489,77.52808988764045,0.23024163823835475,0.6174448007550124,0.1257990019558188,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,-0.18839956069060812,0.0,-0.06580688756248157,0.0,0.0,0.0,0.0,0.06194385451850914,-0.22796443478898992,0.0,0.0,0.08257397435688787,0.0,0.0,-0.3748243785077186,0.0,0.0,0.14238424947844258,0.0,0.0,0.0,0.09964900739859758,0.0,0.5647315187672671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053498082150234855,0.0,0.05685133169396154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06202865942206805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
