,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,RETURN_COM_EQY,2 EARN_FOR_COMMON,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),Strategy Filter EBITDA CAGR,Financial Filter ( Last 3 Year Data ) ROE Avg,EU EUCCEMU Index Last Price,US EXP1CYOY Index Last Price,Japan JNCPIYOY Index Last Price,Swiss Franc USDCHF Curncy Last Price,Taiwanese Dollar USDTWD Curncy Last Price,Korean Won USDKRW Curncy Last Price,Indian Rupee USDINR Curncy Last Price,Indonesian Rupiah USDIDR Curncy Last Price,Gold XAU Curncy Last Price,LME Copper LMCADY Comdty Last Price,UBS US real estate bubble index CHBBNYC Index Last Price,Nasdaq Composite CCMP Index Last Price,Topix Japan TPX Index Last Price,Libor US0003M Index Last Price,ECB ECMSM2 Index Last Price,S&P500 SPX Index Price Earnings Ratio (P/E),Indonesia Motor vehicle sales IDVHCLOC Index Last Price, VIX Index PX_LAST, FDTGOFSF Index PX_LAST, FDTGOFSF Index PX_LAST.1, SPX Index PX_LAST, Japan Govt Bond Year to maturi GJGC10 Index, Italy Generic Govt 10Y Yield GBTP10YR Index, Global High Yield LG30TRUU Index,1D US CPI EHPIUS Index Last Price,1D US CONSSENT Index Last Price,1D Japan JCOMSHCF Index Last Price,1D EU EUCCEMU Index Last Price,1D US CPI YOY Index Last Price,1D Japan JNCPIYOY Index Last Price,1D EURO USDEUR Curncy Last Price,1D Taiwanese Dollar USDTWD Curncy Last Price,1D Indonesian Rupiah USDIDR Curncy Last Price,1D Crude Palm oil KO3 Comdty Last Price,1D LME Copper LMCADY Comdty Last Price,1D Euro Stoxx SX5E Index Last Price,1D US EHUPUS Index Last Price,1D Germany EHUPDE Index Last Price,1D EU EUUCEMU Index Last Price,1D US 10yr Govt Bond Yield USGG10YR Index Last Price,1D Germany Govt 10yr bond yield GDBR10 Index Last Price,1D Libor US0003M Index Last Price,1D S&P 500 SPX Index BEst EPS,1D India Commercial Credit INCMCREY Index Last Price,1D  MXAPJ Index PX_TO_BOOK_RATIO,1D  SHASHR Index PE_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PE_RATIO,1D  SPX Index PX_TO_BOOK_RATIO,1D  NKY Index PX_LAST,1D  TR/CC CRB ER Index CRY Index,1D  Generic 1st 'HG' Future HG1 Comdty,2D US CPI YOY Index Last Price,2D EURO USDEUR Curncy Last Price,2D Taiwanese Dollar USDTWD Curncy Last Price,2D Indonesian Rupiah USDIDR Curncy Last Price,2D Crude Palm oil KO3 Comdty Last Price,2D LME Copper LMCADY Comdty Last Price,2D UBS US real estate bubble index CHBBNYC Index Last Price,2D Dow Jones US real estate index DJUSRE Index Last Price,2D US EHUPUS Index Last Price,2D Japan OEJPDGBO Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D Japan Govt 10yr bond yield GJGB10 Index Last Price,2D US M2 Index Last Price,2D China CNMSM2 Index Last Price,2D MSCI China MXCN Index Price Earnings Ratio (P/E),2D MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),2D China Monthly New Loan CNLNNEW Index Last Price,2D Indonesia Motor vehicle sales IDVHCLOC Index Last Price,2D US Output Gap CBOPGAPN Index PX_LAST,2D  FDTGOFSF Index PX_LAST,2D  CBOPGAPN Index PX_LAST,2D  FDTGOFSF Index PX_LAST.1,2D  MXAPJ Index PE_RATIO,2D  MXAPJ Index IS_EPS,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SHASHR Index PX_TO_SALES_RATIO,2D  SPX Index PX_LAST,2D  SPX Index PE_RATIO,2D  SPX Index PX_TO_BOOK_RATIO,2D IRON ORE Generic 1st 'CL' Future CL1 Comdty,2D  Gold Spot   $/Oz XAU Curncy
0,AAPL UW Equity,40,0.8916012956910251,0.9442464168272101,0.0722874091861929,90.12345679012346,-3.0672037688111926,0.33660009657980694,0.22611724458925733,88.88888888888889,0.530355086618026,-0.22879243670278843,-1.2733313059477822,0.0,-0.058549562456159054,-0.5419801141776983,0.0,0.0,-0.2552636750986735,0.0,0.13042940247156679,0.0,0.1875750114174944,-0.12301809889631325,0.0,0.46167858429214176,0.0,0.0,0.0,0.0,0.0,-0.33690729665573577,0.3625316572263017,0.0,0.0,0.0,0.23389532074787198,0.16324391596858312,-0.11981071340942093,-0.9335522276289805,0.0,0.0,-0.03187865247953672,0.0,0.0,-0.04836417879508542,0.10572262904977421,-0.03320638809027026,0.030283259027316423,0.0,0.1325124667374259,0.0476633021159611,0.0,-0.059854778771556594,-0.10566369060936218,0.0,0.0,0.0,0.08746191938421823,-0.05218327237648041,0.0,0.0,0.07541865065431577,0.0,0.0,-0.012848069324874253,0.0,-0.04611555384248892,0.0,0.0,0.05213840074738174,-0.04717566444251236,-0.06280803242336304,0.0,-0.06483024278436582,0.0,0.0,-0.0395942429238656,0.0,0.07404990871360068,0.0,-0.05551486612726086,0.0,0.0,0.0,0.059118804651890844,0.0,0.04832575101850933,0.0,0.04832575101851021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ABT UN Equity,28,-5.064243536338425,0.2602992686881714,0.19037347788670056,52.083333333333336,-9.153689895178188,0.11301237058294529,0.2724185276373409,61.904761904761905,0.22846100051493096,-0.6033462269386776,0.18623206360832306,-7.52493891763002,-0.00793782375531974,0.922397875477398,-0.26141150580533884,0.0,0.0,0.0,0.0,0.0,0.0,0.028498818219752805,0.0,0.1720551416049885,0.0,0.2813963432525756,0.0,0.1994169646324876,0.0,0.05767738903102169,0.0,0.0,0.0,0.0,-0.35635880539188575,0.0,-0.24902805935665437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00161303675153865,0.0,0.0,0.022493048399964598,0.03637748035064317,-0.20168516731415664,0.0,0.0,0.0,-0.04112798079986121,0.004208596481465531,0.0,0.04034828588535298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11060084004139481,0.0,0.0,0.0,0.0,0.15916683742426888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06657130430853951,0.0,-0.0665713043085587,0.0,0.0,0.08797388675695779,0.0,0.0,-0.09666029004932626,0.0,0.0,0.0,0.0
2,ACN UN Equity,42,0.8835077531068861,0.9408009405139015,0.033491831198310576,92.95774647887323,-0.42861389548687856,0.6033981001565222,0.09028035708653027,77.41935483870968,0.0,0.0,0.0,0.0,0.0,0.27236211228189416,-0.09124573187153236,0.0,0.0,0.0,-0.09748071937472466,0.06623202175074105,0.0,0.0,-0.2628557528205526,0.0,-0.15822539000367317,-0.5015289352872155,0.11143300641507504,0.0,-0.5630825652546443,-0.11353334137306555,0.0,0.07380391084004494,0.05685250780109535,0.05685250780109524,0.0,0.0,0.0,0.9034338642698354,0.0032872333578831585,0.0,0.0,0.0,0.0,-0.04393141846176237,0.03501688741138486,-0.043737636725025,0.0,0.043173985809639624,0.0,0.0,0.0,-0.06266934187636977,0.0,0.0,0.0,0.0,0.019727170237811856,-0.012660929225668407,0.0,-0.04927698328800646,0.0,0.0,0.0,0.048904952029379375,0.0,0.0,0.0,-0.024806151945782402,0.0,0.0,-0.014303958591754895,-0.03384648050092289,0.020338259687108583,0.0,-0.002962876612444139,0.0,0.0,0.0,-0.008720690161995446,0.0,0.0,0.0,0.0,0.0,0.012661619777547286,0.016455772624637117,0.012661619777546842,0.01645577262463652,-0.8415298599909328,-0.09204208499317224,-0.023024477145637816,0.04130889268447306,0.0,-0.07815280738769802,0.080472096444539,0.010131998012908792,0.0
3,ADBE UW Equity,43,0.706973984824713,0.8516255344533191,0.12165137260203324,78.35051546391753,0.525783959892586,0.7549403601697471,0.18316339037472362,69.04761904761905,0.0,0.24141623252315775,1.419042816203133,24.335044506745657,0.0,-0.7540114846085427,0.0,0.0,-0.22644804418592937,0.0,0.0,0.0,0.0,-0.1884697485146609,-1.3844819233657504,0.5534473238751506,-0.31812078005594463,0.11576927475469324,0.0,0.0,0.0,0.0,-0.17764509549774377,0.13523198136949163,0.0,0.0,-0.6715120942696425,0.15947506182513163,-0.3029970780781271,0.5615744007721897,0.0,0.0,0.0,0.0,0.05033923136478576,0.0,0.14249291168683867,-0.07571471554445339,0.0,0.0,0.08717167900786682,0.0,0.17767399501415332,-0.08188736915753843,0.0,-0.14790915219042483,0.1164415585996202,0.0,0.0,0.0,0.0,0.0,-0.06692967040490366,0.0,0.09310129962015785,-0.05125303593836756,0.0,0.0,0.0,-0.07848014708960667,0.10573210649187187,-0.06873767999395133,-0.06020732758102888,0.0,0.0,0.0,0.0,0.0,0.0,0.04853407579019997,0.0,0.0,0.0,0.0,-0.03132214410126033,-0.08241907908902191,0.0,0.013982245634488895,0.0,0.013982245634535968,0.0,-0.12097554475930375,0.14164783465576958,-0.18068029188300266,-0.09606521665996129,-0.05589568452899658,0.0,0.07559364217140864,0.0
4,AMGN UW Equity,16,0.5884963712363517,0.7671351714244057,0.08935644663312763,77.0,0.2941600168943377,0.6151079528483491,0.11774287457090954,70.45454545454545,0.7564303566227912,0.0,0.0,0.0,0.0,0.3877204121074631,0.0,0.0,-0.05174874786125689,-0.31202271321271036,-0.07579919745543508,0.07052524411330965,0.09652581494557,0.0,0.0,0.0,0.0,0.0,0.06169861887417745,0.0,-0.32567898473621576,0.0,0.0,0.0,0.0,0.0,0.0,-0.06815917202741341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03493736938873259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03398625675859484,0.0,0.0,-0.031980421953255685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03486863740503053,0.0,0.0,0.0,0.04300718384052602,0.0,0.0,0.0
5,BA UN Equity,25,0.7582766935172507,0.8707908437261213,0.06912324714241593,89.1566265060241,0.07636166634021335,0.5941376299204525,0.12095419383388638,72.22222222222221,-0.3168364830512258,0.0,0.0,-7.683468066516673,0.0,0.26307671967305774,0.0,0.0,-0.02991104000649036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7092345090697434,0.0,0.0,0.14151130885768207,0.0,0.0,0.04508263187948372,0.08962451510333853,0.0,0.5837434291919276,0.0,0.0,0.0,0.0,-0.011028208395939352,0.0,0.06261367463378197,0.0,0.0,0.0,0.06890077853585809,0.05060501343929739,0.0,0.0,-0.04417019359503783,0.0,0.04257951063776557,0.0,0.0,0.013087629434508044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038551412765698935,0.0,0.0,0.0,0.0,0.0,0.03677728672370534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055768091878232305,-0.10024150605275695,0.17582058022909547,-0.18600727936383438,0.08531135226936698,0.0,-0.06207907965435105,0.0,0.0
6,BDX UN Equity,21,0.622790355373886,0.7891706756930884,0.06167306123054402,73.0,0.5416439171295717,0.7897823147373488,0.053804743907935375,79.54545454545455,-0.9197265849870923,0.0,0.0,0.0,0.0,0.0,-0.07023153634881499,0.0,0.0,0.0,0.1183785175462699,0.0,0.0,0.0,0.0,0.0,0.0,0.11310870679871544,-0.14789962902756404,0.12261712804894431,-0.23754460297124821,-0.11336852909153841,0.0,0.05653450982539492,0.0,0.0,0.0,0.03911178466208088,0.0829887671082084,0.3592491724240834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02760698660222513,0.0,0.0,-0.04457729783511788,0.0,0.0,0.0,0.034305290469304826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022585890923945015,0.0,0.0,0.0,0.0,0.0,-0.03830176244167175,0.0,0.0,0.0,0.0,-0.021898597701518266,-0.018524500419092697,0.0,0.0,0.0,0.0,0.0,-0.029347921531651496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01388124796905734,0.0
7,BMY UN Equity,24,0.6005934068869256,0.7749796170783628,0.06002091686210352,72.52747252747253,0.5403714810513731,0.7436683947242213,0.07395094887738969,72.5,0.0,0.0,0.0,-0.06676934752579948,0.0,0.0,0.0,-0.06259476937522863,0.04857140320556065,0.0,0.0,0.0,0.07533579648108701,0.0,0.0,0.0,-0.11239266359642974,0.11156613447915704,0.0,0.0,0.0,-0.180626294846377,0.0,0.0,0.0,0.0,0.0,-0.04817056847367508,0.0,0.0,0.0,0.0,0.0,0.0,-0.02973885940042916,0.0,0.0,0.0,-0.01696643942793596,0.0,0.0,0.0,-0.0907941241123343,0.03569578522925306,0.0,0.0,0.019403941297748264,0.0,0.0,0.0,0.0,0.0,0.044423893572263465,0.0,-0.02082703007958085,0.0,0.0,0.0,0.0,0.0,0.0,0.03297591037566113,0.0,0.0,0.0,0.0,0.025842881389484887,0.0,-0.010154966981494816,0.0,-0.019739772743564084,0.0,0.012682807307138898,0.01268280730713882,0.0,0.029374568802973153,0.0,0.0,0.0,0.0,-0.026848635697870167,0.0,0.0,0.0,0.0,0.0,0.024534158176713717,0.0,0.0
8,CAT UN Equity,28,0.7754807468295581,0.8806138466033557,0.05641394982998703,86.73469387755102,0.3454926290949816,0.6213458675489215,0.10607231899383858,73.80952380952381,0.0,0.0,0.0,0.8921560230080005,0.0,0.0,0.0,-0.12193687465856992,-0.038404820989514296,0.1421738401925933,0.0,0.0,0.0560815622034185,-0.06456416728640325,0.0,-0.2531468381271361,-0.14270482151637975,0.10524500998508066,-0.0736790009072282,0.0,0.3038604195981129,-0.35284482741968637,0.0,0.0,0.0,0.0,0.0,0.08959155491545559,-0.13416782946084907,0.17474357864278853,0.0,0.0,0.0,0.030752025699216867,0.0,0.0,0.04675867308676605,-0.03436391106038908,0.0,0.0,0.07251675994230372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016350716160106655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02101060858809586,0.0,0.0,0.0,-0.06279076902185739,0.0,0.0,0.0,0.0,-0.013323090577580675,0.010331973639926252,-0.02066320745989795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020346900037287306,-0.020626617969230796,0.0,0.0,0.0,0.0,0.0,0.025777923372624658,0.0
9,CI UN Equity,28,0.3331237097365243,0.7491914703604473,0.13576467574906248,77.52808988764045,-1.5944029664827055,0.5323912588026926,0.19389865372707227,64.1025641025641,0.0,-0.4177135906810062,0.0,0.0,0.0,0.424574963347413,-0.2615276661402336,0.0,-0.18152578640732503,-0.26885543216993624,-0.18855036877118306,0.0,0.19639006187546867,0.22556254406747756,-0.8711626107999696,0.0,0.0,0.18703534772928443,0.0,0.0,-0.44573130477508405,0.0,0.0,0.15998880553096742,0.0,0.0,0.0,0.24090807444199364,0.0,0.7982614660074002,0.0,0.0,0.0,-0.043321890729039574,0.0,-0.016265522155147285,0.0,-0.08352373771500644,0.0,0.08273856997245124,0.0,0.08828934270031753,0.0,-0.0539359947774665,-0.10100499454630327,0.0,0.0,0.0,0.034049025314653446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017209690370377694,0.0,0.0,0.0,0.0,0.08901197249320843,-0.11125950772497736,0.0,0.0,0.0,0.0,0.0,0.0,0.04572934480816795,0.0,0.0,0.0,0.0,0.030884444568218514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,CMCSA UW Equity,31,-3.0341485925042937,0.6087095489247661,0.1953083382042593,65.67164179104478,-5.560173295874671,0.6445051108019253,0.2572063893318826,68.96551724137932,-0.24910404843228287,-0.5001684278656894,0.0,1.8098385700472452,0.0,0.0,0.0,0.0,-0.06724299086434651,0.0,0.1314423652429738,0.0,0.0,0.0,0.09867691522422885,0.1822720593104603,0.1895584594003091,0.0,0.0,-0.3661809051005457,0.0,-0.5239498104318405,-0.2962899368700777,0.0,0.13111768624511766,0.13111768624511982,0.0,0.0,0.14760546959260257,0.0,0.0,0.010018889234378455,-0.01799926066838233,-0.03678159920986359,0.0,0.0,0.0,-0.0002018796140063266,0.044150860712710065,0.0,0.007981301937544639,0.0,-0.08532722291147955,0.0,0.03271423422073439,0.0,0.0,0.0,0.001008789810960925,0.0,0.1738309285893652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23985001500291264,-0.08986976950318136,0.0,0.0626821273360602,0.0,0.0,0.0,0.0,0.0,0.0,-0.010735403588404215,0.0,0.0,0.0,-0.03770884368501575,0.0,0.0,0.0,0.0,0.0,-0.0793167668777162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,COP UN Equity,19,0.6519244888169349,0.8074184100061969,0.05868163742597545,85.0,0.44621682578535826,0.7191224879069413,0.061358080531268996,77.14285714285715,0.0,0.0,0.0,0.1760700688990363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11625038166666656,0.0,-0.33033786755095246,0.0,0.0,0.14958278613315137,0.0,-0.12759460330351138,0.0,-0.23430309584928763,-0.07679006076458843,0.0,0.07155075726040688,0.07155075726040645,0.0,0.055349031102486124,-0.057766795940448284,0.0,0.0,0.0,0.0,0.027488544471941895,0.0,0.0,0.0,-0.028926623624527362,0.0,0.0,0.0,0.020483087833579487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03118785471286344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026464578907735088,0.0,-0.06131683228372619,0.0,0.0,0.02069926970611438,0.0,0.0,0.0,0.0,0.0,-0.01863472114381911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,COST UW Equity,27,0.589585256326546,0.7678445521891432,0.07907920983624585,73.46938775510205,0.4718649884491808,0.688727486482276,0.08821444687940552,78.57142857142857,0.0,-0.7247754804794284,0.0,0.0,0.0,1.1780004825364119,-0.0851969362087043,0.0,-0.0917994098083731,0.0,0.0,0.14201272500869724,0.0,-0.06956037929909542,0.3837651864940146,0.17245421653692944,0.0,0.0,0.0,0.10704544240566671,-0.8500968606650923,-0.11481784597666368,0.16929168226819838,0.07921173004245385,0.0,0.0,0.0,0.0,0.0,0.3877129151649891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08070770976617218,0.0,-0.09814018627716356,-0.05029753824722236,0.05050120010578045,0.0,0.0,0.0,0.0,0.0,-0.015866768235731764,0.0,0.02438269753983668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02694702417397929,0.0,0.0,0.0,0.029183697796446657,-0.013089208021022453,0.0,-0.01308920802102026,0.0,0.0,-0.02381971775567732,0.0,0.0,0.06583659198260514,-0.0749822127676217,0.0,0.0,0.0
13,CSCO UW Equity,28,0.5567995284617683,0.7860379946295387,0.11907187834803437,78.57142857142857,0.11488030222780399,0.6138738079610384,0.157571929175942,61.904761904761905,0.0,-0.3125262001210095,0.0,-13.326270023738703,0.0,0.20397360598597317,0.0,0.20023390981970657,-0.2251135559083545,-0.5448113523838978,0.0,0.1015052659697502,-0.24531692980612504,-0.09515775913070018,0.0,0.0,0.0,-0.08340014682857205,0.3587278059441294,0.0,-0.6507039797772683,0.0,0.0,0.0,0.2653177622757612,0.26531776227577986,-0.3826459146986355,0.0,0.0,0.0,-0.1409115062597402,0.006156925985416305,0.0,0.0,0.0,-0.042032958177536356,0.0,0.0,0.0,0.0,0.0,0.0,-0.16084330180943782,-0.03643959448238357,-0.33993465470768097,0.0,0.014932691358358079,0.03548266370909125,0.0,0.0,0.0,0.0,0.0,0.0,0.08189678971975989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022196163302164317,0.0,-0.027712185758629205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07094919329756151,0.0,0.0
14,CVS UN Equity,18,0.7208302638197346,0.8490172341123203,0.05582213230302073,82.6086956521739,0.3564007186957415,0.7053767792465946,0.08604354720498505,72.5,0.0,0.0,0.0,11.33200954664244,0.0,-0.7557611650841655,0.0,-0.09511591695497301,0.0,0.0,0.0,-0.05871450087699792,0.0,0.0,0.5301897121568143,-0.20246828759084048,-0.13441176898222776,0.1711827189196751,0.0,0.0,-0.9099431101190616,-0.2515037056209011,0.0,-0.0683322374065253,0.0,0.0,0.0,0.0,0.0,0.0,-0.03294762033305789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1442145321074328,0.0,0.10553093650265746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02104299473661938,0.0,0.0,0.0,0.0,0.0,0.0,-0.014246028606587123,-0.014246028606588345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CVX UN Equity,15,0.5585749543369333,0.7473787221596113,0.04772258510938198,80.64516129032258,0.5623903273513586,0.7691708583599833,0.044852376951692474,92.5,0.0,0.04484384171943515,-0.01281848982669938,0.7756007075920603,-0.04406343921596678,0.0,0.05916399518899189,0.0,0.0,0.0,0.0,0.0,-0.04411670012705954,0.0,0.0,0.0,0.0,0.038043533668917016,0.0,0.0,0.0,-0.08641497238444654,0.0,-0.03281580747674941,0.0,0.0,-0.10941117815266521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02525141427725061,0.0,0.0,-0.01901798803736471,0.0,0.0,0.02590758605533283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014629486067724943,0.0,0.0,0.0
16,D UN Equity,45,0.853848664456833,0.9240393197569208,0.029627715259770187,91.35802469135803,-0.1861060445566023,0.6154313313312094,0.07560210480052937,63.888888888888886,-0.03738036625709103,0.0,0.0,0.0,0.0,0.0,0.0,-0.14322609834464545,0.05292954732638664,0.09297425148502383,0.03583921164432913,0.0,0.0,0.0,-0.17018327756344928,0.19347534823795043,0.0,0.16478209591169565,-0.11999293073751696,0.0,0.0,-0.13202292766495485,0.029389654878001444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04920345993159941,-0.010839151377180783,0.0,0.0,-0.023772675328792264,0.012383271627664531,0.0,-0.026075448806023638,0.014584244114360536,0.0,0.04161162511257663,0.055698221825746186,-0.028391569243544523,0.0370527740985915,0.0,0.0,0.0,0.0,0.0,-0.01079042831481294,0.0,-0.026443559197274345,0.028223941144609865,0.0,-0.039416795332331764,0.0,0.02255332131609045,-0.030934706397367555,0.0,0.0,0.04338407279498416,0.0,-0.015387499532654883,-0.01065065196252385,0.02650498704235952,0.037177199358374186,0.013068215894994156,-0.025325947888349003,0.0,0.019800403195937923,-0.03760749058158118,0.03755030065650686,0.01119332496697813,0.011193324966978625,-0.035336392302197886,0.008468616361029142,0.0,0.0,0.0,0.0,-0.030900025447463113,-0.0427454073874048,0.0,0.0,-0.03477654167788947,0.0,0.06742874487728413,0.0,0.0
17,DHR UN Equity,28,0.7193686653143692,0.8481560383056698,0.06199661412801397,79.0,0.08104983198693005,0.532459014128449,0.07755102441348102,79.54545454545455,0.0,0.0,0.0,-4.288201399412623,0.0,0.0,0.0,-0.11350129856651717,0.0,0.0,0.0854096683864339,0.0,0.0,0.0,0.17313611755600467,0.17159718807166954,0.0,0.1720021337631793,-0.12201899958149401,0.0,-0.41554739322462597,-0.20685054863784016,0.08186374365962183,0.06192718820102438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676310288727903,0.04877069905069795,0.0,0.0,0.0,0.031244065553703706,0.0,-0.05780769958543039,0.0,0.0,-0.04789438924828505,0.09268190673289305,0.0,0.01924577895372727,0.0,0.0,0.0,0.022345693618778997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010441932109043298,0.0,0.0,0.0,0.0,0.0,0.0,-0.030927749721545536,0.01580470062540767,-0.011197528180635104,0.0,0.006249846696170363,0.006249846696170044,0.0,0.03150379855411816,0.0,0.0,0.0,0.0,-0.015045004592623083,0.0,0.0,0.0,0.0,0.0,0.01608003798267749,0.0,0.0
18,DIS UN Equity,16,0.6169917649974039,0.7854882335193849,0.07042944188864363,81.25,0.35662698373359447,0.59895463041139,0.10459001702501038,80.95238095238095,0.0,-0.7959027873581279,0.0,0.0,0.0,0.7066973611912097,0.0,0.030757368499005688,-0.020036020207218466,-0.18485959677274838,0.08814268305946076,0.0,0.0,-0.06194323776439746,0.0,0.0,0.0771587234114739,0.0,0.0571111834398102,0.0,-0.1318282532754166,0.0,0.0,0.08541171659754264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02351346595250318,0.0,0.0,0.0,0.0,0.0,0.0,0.06666561499719752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999714010479652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02437309561980924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03868050884318625
19,DUK UN Equity,22,0.6232180767479132,0.7894416233946072,0.06597179002386154,81.11111111111111,0.42711155239978205,0.711086616400498,0.07192739334689531,74.35897435897436,0.0,0.0,0.05704756557266133,-0.8958783485863429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1770464421466069,0.050642260128753926,0.0,0.12185751268526135,0.0,0.2325168713974434,0.0,0.0,-0.4484204303828682,0.0,-0.1327729742525132,0.0,-0.08670683393323513,-0.08670683393323293,-0.26109849477549685,0.0,0.09937694390944919,0.0,-0.02854810165627176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02614616030388623,0.0,0.0,-0.14591443200945092,-0.03542455396159683,0.04327216524020733,0.0,0.0,0.0,0.0,0.0,0.028286865638005792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04423944922420188,0.0,-0.04423944922420177,0.0,-0.03687743586839661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
